algo,original,parallelized
OLS Regression,3.7989999999990687,6.89600000000064
Elastic Net,2.941999999999098,1.1059999999997672
Random Forest,279.78700000000026,178.4340000000011
eXtreme Gradient Boosting,11943.166000000001,5288.0250000000015
